city,site
臺北市,101大樓
臺北市,木柵動物園
臺北市,公館(台大)遊樂園
臺北市,兒童新樂園
臺北市,陽明山公園
新北市,九份
新北市,平溪放天燈
臺北市,行天宮拜拜
新北市,野柳女王頭
新北市,淡水老街
新北市,富貴角燈塔
基隆市,和平島
基隆市,基隆廟口
桃園市,大溪老街
桃園市,可口可樂世界
桃園市,八德落雨松森林
桃園市,竹圍漁港
新竹市,青青草原
桃園市,小木屋鬆餅(中央店)
新竹縣,六福村
苗栗縣,三義木雕博物館
苗栗縣,龍騰斷橋
苗栗縣,勝興車站
苗栗縣,客家圓樓
臺中市,逢甲夜市
臺中市,審計新村
臺中市,高美濕地
臺中市,宮原眼科
彰化縣,鹿港老街
彰化縣,玻璃博物館
彰化縣,田尾公路花園
南投縣,日月潭
南投縣,集集火車站
南投縣,清境農場
南投縣,妖怪村
南投縣,溪頭
雲林縣,劍湖山
雲林縣,古坑
雲林縣,北港朝天宮
嘉義縣,阿里山
嘉義市,嘉義火車站
嘉義縣,民雄鬼屋咖啡
臺南市,赤崁樓
臺南市,六千牛肉湯
臺南市,安平觀夕平台
臺南市,國華街
臺南市,林百貨
臺南市,奇美博物館
臺南市,新化老街
臺南市,國聖燈塔
臺南市,四草公園
高雄市,駁二
高雄市,中山大學看猴子
高雄市,興達港
高雄市,草衙道
高雄市,愛河
屏東縣,墾丁
屏東縣,萬巒豬腳
屏東縣,萬丹
屏東縣,鵝鑾鼻燈塔
臺東縣,三仙台
臺東縣,台東森林公園
臺東縣,藍蜻蜓炸雞
臺東縣,星星部落景觀咖啡
臺東縣,金剛大道
臺東縣,海濱公園
臺東縣,鐵花村
屏東縣,彩虹貨櫃市集
臺東縣,原始部落山地美食
花蓮縣,太魯閣國家公園
花蓮縣,瑞穗牧場
臺東縣,金城武樹
花蓮縣,七星潭
花蓮縣,清水斷崖
花蓮縣,慕谷慕魚山
花蓮縣,大石鼻山步道
花蓮縣,親不知子海空中步道
宜蘭縣,蘇澳冷泉個人湯屋
宜蘭縣,幾米公園
宜蘭縣,南方澳觀景臺
宜蘭縣,羅東夜市
